strategy,side,open_ts,close_ts,entry,exit,qty,pnl,fee,pnl_pct,holding_hrs,reason
grid,long,2020-12-23 13:00,2020-12-23 14:00,23263.0799,23759.67,586630.059846,277202316.74,14112363.34,2.031,1,grid TP hit (23612.03)
grid,long,2020-12-23 15:00,2020-12-23 17:00,23097.9151,23589.39,651048.357988,304232147.17,15741779.47,2.023,2,grid TP hit (23444.38)
grid,long,2020-12-23 18:00,2020-12-24 22:00,23250.994,23711.0,712682.00977,305025191.99,22812844.23,1.841,28,grid TP hit (23599.76)
grid,long,2020-12-24 23:00,2020-12-25 09:00,23373.262,23934.52,781083.405041,417591282.02,20798027.72,2.287,9,grid TP hit (23723.86)
grid,long,2020-12-25 10:00,2020-12-25 11:00,23615.6311,24574.4,852064.769014,795732483.6,21200717.72,3.955,1,grid TP hit (23969.87)
grid,long,2020-12-25 12:00,2020-12-25 18:00,23981.7654,24356.31,926195.908059,322651011.34,24250618.26,1.453,6,grid TP hit (24341.49)
grid,long,2020-12-25 19:00,2020-12-25 20:00,24082.9151,24455.05,1015783.934331,352857092.83,25151559.99,1.442,1,grid TP hit (24444.16)
grid,long,2020-12-25 21:00,2020-12-25 22:00,24053.0991,24584.0,1120112.685393,566787715.89,27881060.89,2.104,1,grid TP hit (24413.90)
grid,long,2020-12-25 23:00,2020-12-28 03:00,24341.783,27275.65,1219729.23033,3523629701.28,54893697.51,11.868,52,grid TP hit (24706.91)
grid,long,2020-12-28 04:00,2020-12-28 05:00,26461.1483,26942.62,1247444.596728,566579664.71,34029543.56,1.716,1,grid TP hit (26858.07)
grid,long,2020-12-28 06:00,2020-12-28 12:00,26651.7656,27097.28,1364376.975412,568105935.0,39743722.8,1.562,6,grid TP hit (27051.54)
grid,long,2020-12-28 13:00,2020-12-28 14:00,26840.4817,27276.11,1492243.527265,608852129.89,41211381.08,1.52,1,grid TP hit (27243.09)
grid,long,2020-12-28 15:00,2020-12-28 16:00,26512.5752,27066.44,1663914.886455,875984680.21,45599205.59,1.986,1,grid TP hit (26910.26)
grid,long,2020-12-28 17:00,2020-12-29 23:00,26733.8456,27385.0,1818268.988958,1115508070.18,68465782.36,2.295,30,grid TP hit (27134.85)
grid,long,2020-12-30 00:00,2020-12-30 02:00,27216.2789,27999.14,1968562.444657,1484614953.97,56496006.87,2.771,2,grid TP hit (27624.52)
grid,long,2020-12-30 03:00,2020-12-30 14:00,27644.5569,28182.98,2137047.918441,1082126184.27,68509780.82,1.832,11,grid TP hit (28059.23)
grid,long,2020-12-30 15:00,2020-12-30 16:00,27731.4536,28153.78,2347075.737186,924327004.49,66905042.12,1.42,1,grid TP hit (28147.43)
grid,long,2020-12-30 17:00,2020-12-30 18:00,27816.0946,28510.86,2577016.253066,1716030237.54,74391361.48,2.394,1,grid TP hit (28233.34)
grid,long,2020-12-30 19:00,2020-12-30 20:00,28344.8131,28785.67,2787642.850318,1147704366.04,81247219.26,1.453,1,grid TP hit (28769.99)
grid,long,2020-12-30 21:00,2020-12-30 23:00,28442.0818,28875.54,3059677.78709,1235683678.65,90558594.54,1.42,2,grid TP hit (28868.71)
grid,long,2020-12-31 00:00,2020-12-31 07:00,28683.7023,29155.25,3341299.233214,1469641450.63,105940350.74,1.533,7,grid TP hit (29113.96)
grid,long,2020-12-31 08:00,2020-12-31 09:00,28492.4153,28989.99,3704926.195257,1734729009.36,108748345.52,1.643,1,grid TP hit (28919.80)
grid,long,2020-12-31 10:00,2021-01-01 01:00,28699.4427,29409.99,4051696.880857,2737419548.56,141502933.14,2.354,15,grid TP hit (29129.93)
grid,long,2021-01-01 02:00,2021-01-01 03:00,28756.7303,29278.4,4457102.709189,2193007609.62,132128046.41,1.711,1,grid TP hit (29188.08)
grid,long,2021-01-01 04:00,2021-01-01 10:00,28782.0053,29223.82,4905681.595466,2013287034.49,154114962.62,1.426,6,grid TP hit (29213.74)
