strategy,side,open_ts,close_ts,entry,exit,qty,pnl,fee,pnl_pct,holding_hrs,reason
grid,long,2025-10-23 13:00,2025-10-23 14:00,4098.782,4164.5,1.542792,75.05,26.34,1.187,1,grid TP hit (4160.26)
grid,long,2025-10-23 15:00,2025-10-29 19:00,4096.221,3959.2,1.544962,-237.9,26.21,-3.759,96,grid SL hit (3973.33)
grid,long,2025-10-29 20:00,2025-10-30 07:00,3882.5745,3972.8,1.623189,120.11,26.35,1.906,10,grid TP hit (3940.81)
grid,long,2025-10-30 08:00,2025-10-30 09:00,3928.6725,4010.4,1.606547,104.95,26.34,1.663,1,grid TP hit (3987.60)
grid,long,2025-10-30 10:00,2025-10-30 13:00,3935.863,4007.9,1.605627,89.32,26.34,1.413,3,grid TP hit (3994.90)
grid,long,2025-10-30 14:00,2025-10-30 15:00,3949.456,4015.3,1.601712,79.12,26.34,1.251,1,grid TP hit (4008.70)
grid,long,2025-10-30 16:00,2025-10-30 17:00,3954.2825,4017.5,1.601109,74.88,26.34,1.183,1,grid TP hit (4013.60)
grid,long,2025-10-30 18:00,2025-10-30 19:00,3967.777,4035.2,1.596904,81.32,26.35,1.283,1,grid TP hit (4027.29)
grid,long,2025-10-30 20:00,2025-10-30 22:00,3977.7255,4051.1,1.59431,90.63,26.35,1.429,1,grid TP hit (4037.39)
grid,long,2025-10-31 04:00,2025-10-31 06:00,3958.124,4024.9,1.603846,80.75,26.35,1.272,2,grid TP hit (4017.50)
grid,long,2025-10-31 07:00,2025-10-31 12:00,3972.111,4035.3,1.599585,74.73,26.35,1.176,5,grid TP hit (4031.69)
grid,long,2025-10-31 13:00,2025-10-31 14:00,3967.777,4033.0,1.602569,78.17,26.35,1.229,1,grid TP hit (4027.29)
grid,long,2025-10-31 15:00,2025-11-03 05:00,3964.625,4024.7,1.605167,70.08,26.35,1.101,12,grid TP hit (4024.09)
grid,long,2025-11-03 06:00,2025-11-03 07:00,3967.974,4035.9,1.604931,82.66,26.36,1.298,1,grid TP hit (4027.49)
grid,long,2025-11-03 08:00,2025-11-03 14:00,3969.4515,4034.1,1.605769,77.45,26.36,1.215,6,grid TP hit (4028.99)
grid,long,2025-11-03 15:00,2025-11-03 16:00,3959.0105,4019.8,1.611312,71.59,26.36,1.122,1,grid TP hit (4018.40)
grid,long,2025-11-03 17:00,2025-11-03 18:00,3957.73,4018.2,1.612993,71.18,26.36,1.115,1,grid TP hit (4017.10)
grid,long,2025-11-03 19:00,2025-11-03 20:00,3956.0555,4022.7,1.614826,81.25,26.37,1.272,1,grid TP hit (4015.40)
grid,long,2025-11-03 21:00,2025-11-06 07:00,3953.4945,4014.8,1.617278,72.78,26.37,1.138,55,grid TP hit (4012.80)
