strategy,side,open_ts,close_ts,entry,exit,qty,pnl,fee,pnl_pct,holding_hrs,reason
grid,long,2025-05-01 09:00,2025-05-01 10:00,94088.1751,96169.01,0.707348,1403.0,68.88,2.108,1,grid TP hit (95499.50)
grid,long,2025-05-01 11:00,2025-05-01 12:00,94737.3099,96373.2,0.703912,1082.84,68.69,1.624,1,grid TP hit (96158.37)
grid,long,2025-05-01 13:00,2025-05-01 14:00,94372.3772,96827.99,0.707711,1668.48,69.38,2.498,1,grid TP hit (95787.96)
grid,long,2025-05-01 23:00,2025-05-02 00:00,95042.5614,97042.97,0.704406,1339.89,69.21,2.001,1,grid TP hit (96468.20)
grid,long,2025-05-02 01:00,2025-05-02 12:00,95515.844,97182.53,0.702248,1092.8,77.63,1.629,11,grid TP hit (96948.58)
grid,long,2025-05-02 13:00,2025-05-02 14:00,95320.4988,97748.4,0.704763,1641.34,69.75,2.443,1,grid TP hit (96750.31)
grid,long,2025-05-02 15:00,2025-05-02 16:00,95870.2372,97348.69,0.702364,969.18,69.23,1.439,1,grid TP hit (97308.29)
grid,long,2025-05-02 17:00,2025-05-07 00:00,95941.5118,97415.65,0.702782,879.39,156.61,1.304,103,grid TP hit (97380.63)
grid,long,2025-05-07 01:00,2025-05-07 22:00,95784.2073,97262.88,0.704784,955.6,86.54,1.416,21,grid TP hit (97220.97)
grid,long,2025-05-07 23:00,2025-05-08 00:00,95575.0425,97770.01,0.707256,1482.39,70.01,2.193,1,grid TP hit (97008.67)
grid,long,2025-05-08 01:00,2025-05-08 02:00,96348.9668,98681.99,0.703043,1569.97,70.24,2.318,1,grid TP hit (97794.20)
grid,long,2025-05-10 22:00,2025-05-11 14:00,102043.9217,104160.0,0.665279,1324.63,83.15,1.951,16,grid TP hit (103574.58)
grid,long,2025-05-11 15:00,2025-05-11 18:00,102587.75,104528.19,0.662977,1214.57,71.9,1.786,3,grid TP hit (104126.57)
grid,long,2025-05-11 19:00,2025-05-12 00:00,102853.7,104587.31,0.662378,1074.7,73.61,1.577,5,grid TP hit (104396.51)
grid,long,2025-05-12 01:00,2025-05-12 03:00,102424.3779,104100.13,0.666137,1045.2,71.08,1.532,2,grid TP hit (103960.74)
grid,long,2025-05-12 04:00,2025-05-12 06:00,102511.6095,104384.8,0.666523,1177.21,71.31,1.723,2,grid TP hit (104049.28)
grid,long,2025-05-12 07:00,2025-05-12 08:00,102900.9701,104614.04,0.665079,1068.88,70.45,1.562,1,grid TP hit (104444.48)
