strategy,instrument,cagr,total_return,final_value,max_dd,sharpe,calmar,win_rate,total_trades,avg_win,avg_loss,profit_factor,avg_duration,expectancy,years,gross_cagr,cagr_drag,total_costs,total_stt,total_dp,total_stamp,total_txn,total_gst,avg_cost_pct,bull_trades,bull_wr,bull_avg_pnl,bear_trades,bear_wr,bear_avg_pnl,sideways_trades,sideways_wr,sideways_avg_pnl
MACD Trend,Apollo Hosp.,-4.26,-60.66,39343.0,70.68,-0.28,-0.06,25.8,120,6.02,-3.07,0.66,10.0,-0.72,21.4,-2.53,1.73,18375.0,14879.0,1841.0,1119.0,442.0,80.0,0.25,101,25.7,-0.93,7,28.6,0.63,12,25.0,0.21
52-Week High Breakout,Hindalco,-4.13,-59.54,40465.0,70.75,-0.28,-0.06,21.1,38,11.19,-5.77,0.5,20.0,-2.2,21.5,-3.5,0.63,6078.0,4943.0,583.0,375.0,147.0,26.0,0.246,38,21.1,-2.2,0,0.0,0.0,0,0.0,0.0
BB Squeeze Breakout,Adani Ports,-6.23,-67.58,32419.0,74.04,-0.28,-0.08,26.9,93,7.65,-4.28,0.5,16.0,-1.07,17.5,-4.76,1.48,10194.0,7887.0,1427.0,596.0,234.0,42.0,0.262,65,23.1,-1.46,16,50.0,0.69,12,16.7,-1.35
Stochastic Reversal,HDFC Bank,-0.49,-9.92,90076.0,10.85,-0.29,-0.04,32.0,25,1.0,-1.11,0.41,3.0,-0.43,21.5,-0.22,0.27,5336.0,4457.0,383.0,335.0,132.0,24.0,0.239,24,33.3,-0.42,0,0.0,0.0,1,0.0,-0.76
RSI Oversold Bounce,Cipla,-2.27,-38.86,61137.0,49.49,-0.29,-0.05,33.3,30,5.89,-5.31,0.47,19.0,-1.58,21.5,-1.93,0.34,4753.0,3862.0,460.0,292.0,115.0,21.0,0.245,28,32.1,-1.64,1,100.0,3.92,1,0.0,-5.32
Stochastic Reversal,Grasim,-0.98,-19.0,80997.0,25.77,-0.29,-0.04,26.7,30,3.03,-2.06,0.54,3.0,-0.71,21.4,-0.61,0.36,6624.0,5547.0,460.0,417.0,165.0,30.0,0.238,22,27.3,-0.78,7,28.6,-0.4,1,0.0,-1.11
MACD Trend,Adani Ports,-4.79,-57.65,42350.0,62.48,-0.29,-0.08,32.9,85,3.95,-3.37,0.47,9.0,-0.96,17.5,-3.44,1.35,11808.0,9451.0,1304.0,712.0,281.0,51.0,0.251,66,33.3,-0.97,9,33.3,-1.13,10,30.0,-0.7
MACD Trend,UltraCemco,-3.45,-52.88,47121.0,56.04,-0.3,-0.06,31.4,105,4.7,-3.1,0.6,10.0,-0.65,21.4,-2.2,1.25,14932.0,11987.0,1611.0,902.0,356.0,64.0,0.25,79,34.2,-0.22,12,16.7,-2.89,14,28.6,-1.15
Triple MA Momentum,NTPC,-1.01,-18.88,81117.0,28.88,-0.3,-0.04,27.3,11,3.14,-3.83,0.31,15.0,-1.93,20.6,-0.88,0.14,2324.0,1939.0,169.0,147.0,58.0,10.0,0.238,10,20.0,-2.21,0,0.0,0.0,1,100.0,0.86
Triple MA Momentum,Tata Steel,-1.0,-19.37,80631.0,22.16,-0.3,-0.05,16.7,12,5.63,-3.29,0.31,10.0,-1.8,21.5,-0.86,0.14,2425.0,2016.0,184.0,152.0,60.0,11.0,0.239,10,20.0,-1.36,0,0.0,0.0,2,0.0,-4.01
