strategy,instrument,cagr,total_return,final_value,max_dd,sharpe,calmar,win_rate,total_trades,avg_win,avg_loss,profit_factor,avg_duration,expectancy,years,gross_cagr,cagr_drag,total_costs,total_stt,total_dp,total_stamp,total_txn,total_gst,avg_cost_pct,bull_trades,bull_wr,bull_avg_pnl,bear_trades,bear_wr,bear_avg_pnl,sideways_trades,sideways_wr,sideways_avg_pnl
Stochastic Reversal,Infosys,0.79,18.3,118296.0,16.46,0.22,0.05,41.0,39,3.66,-1.69,1.42,3.0,0.5,21.5,1.18,0.39,10225.0,8667.0,598.0,648.0,257.0,46.0,0.237,32,40.6,0.64,6,33.3,-0.7,1,100.0,3.32
BB Squeeze Breakout,ONGC,2.22,60.12,160121.0,46.56,0.22,0.05,37.1,105,9.43,-4.36,1.21,18.0,0.76,21.4,2.91,0.69,24986.0,21045.0,1611.0,1572.0,625.0,113.0,0.239,59,42.4,1.11,30,26.7,-0.52,16,37.5,1.88
Bollinger Band Bounce,M&M,1.34,32.93,132925.0,28.14,0.22,0.05,54.3,46,5.06,-4.31,1.39,9.0,0.78,21.4,1.69,0.35,10300.0,8639.0,706.0,645.0,257.0,46.0,0.24,44,56.8,1.02,0,0.0,0.0,2,0.0,-4.31
RSI Oversold Bounce,Coal India,1.44,23.1,123102.0,18.49,0.22,0.08,58.3,24,5.64,-5.3,1.42,26.0,1.08,14.6,1.76,0.32,5761.0,4856.0,368.0,362.0,144.0,26.0,0.239,18,66.7,2.1,2,0.0,-5.3,4,50.0,-0.33
MACD Trend,Asian Paints,1.74,44.7,144705.0,24.7,0.21,0.07,41.4,116,5.16,-2.87,1.19,14.0,0.45,21.4,2.7,0.97,32480.0,27638.0,1779.0,2067.0,821.0,148.0,0.236,99,39.4,0.14,7,28.6,-0.54,10,70.0,4.24
ADX Breakout,Asian Paints,1.19,28.87,128874.0,19.71,0.21,0.06,40.8,49,5.08,-2.4,1.36,13.0,0.66,21.4,1.64,0.45,12986.0,11014.0,752.0,823.0,327.0,59.0,0.237,47,40.4,0.64,0,0.0,0.0,2,50.0,1.03
Trend + RSI Pullback,Tech Mahindra,0.76,15.27,115275.0,9.87,0.21,0.08,50.0,10,6.65,-3.33,1.84,9.0,1.66,18.8,0.88,0.12,2515.0,2127.0,153.0,158.0,63.0,11.0,0.239,9,44.4,1.12,0,0.0,0.0,1,100.0,6.59
52-Week High Breakout,Eicher Motors,1.93,50.76,150757.0,39.46,0.21,0.05,41.2,51,10.22,-4.88,1.35,27.0,1.34,21.4,2.32,0.39,12743.0,10769.0,782.0,803.0,320.0,58.0,0.24,50,42.0,1.5,0,0.0,0.0,1,0.0,-6.63
52-Week High Breakout,SBI,1.67,42.75,142755.0,43.96,0.2,0.04,36.7,30,14.67,-5.59,1.3,37.0,1.84,21.4,1.96,0.29,9014.0,7703.0,460.0,574.0,229.0,41.0,0.237,29,37.9,2.0,0,0.0,0.0,1,0.0,-3.02
Stochastic Reversal,Axis Bank,0.74,17.22,117218.0,10.65,0.2,0.07,52.2,23,3.47,-2.11,1.7,4.0,0.8,21.4,0.97,0.22,5744.0,4853.0,353.0,362.0,144.0,26.0,0.238,19,52.6,1.0,3,33.3,-0.97,1,100.0,2.39
52-Week High Breakout,Bajaj Finance,1.87,48.93,148930.0,50.39,0.2,0.04,40.0,55,9.54,-4.48,1.37,28.0,1.13,21.4,2.24,0.36,11735.0,9806.0,844.0,731.0,291.0,52.0,0.243,54,40.7,1.25,0,0.0,0.0,1,0.0,-5.16
Triple MA Momentum,Tech Mahindra,0.95,19.39,119387.0,15.44,0.2,0.06,46.2,13,5.71,-2.01,2.41,24.0,1.55,18.8,1.09,0.14,3044.0,2562.0,199.0,190.0,76.0,14.0,0.24,11,54.5,2.38,1,0.0,-5.3,1,0.0,-0.7
52-Week High Breakout,Tech Mahindra,1.65,35.95,135949.0,28.17,0.2,0.06,37.0,27,11.08,-4.05,1.49,44.0,1.56,18.8,1.91,0.26,6573.0,5546.0,414.0,413.0,165.0,30.0,0.24,27,37.0,1.56,0,0.0,0.0,0,0.0,0.0
Trend + RSI Pullback,JSW Steel,1.01,24.05,124047.0,15.28,0.2,0.07,37.5,24,7.87,-2.97,1.43,11.0,1.1,21.5,1.26,0.25,6830.0,5818.0,368.0,434.0,173.0,31.0,0.236,24,37.5,1.1,0,0.0,0.0,0,0.0,0.0
Stochastic Reversal,IndusInd Bank,0.71,16.44,116440.0,7.4,0.2,0.1,50.0,16,3.94,-1.79,2.05,4.0,1.08,21.4,0.87,0.16,4078.0,3451.0,245.0,257.0,102.0,18.0,0.238,11,36.4,0.78,1,100.0,1.79,4,75.0,1.71
Triple MA Momentum,Asian Paints,1.06,25.3,125295.0,27.7,0.19,0.04,40.0,20,8.8,-3.22,1.61,24.0,1.59,21.4,1.24,0.18,4932.0,4165.0,307.0,310.0,124.0,22.0,0.239,20,40.0,1.59,0,0.0,0.0,0,0.0,0.0
RSI Oversold Bounce,Asian Paints,1.08,26.0,125998.0,19.75,0.19,0.05,55.9,34,5.79,-5.3,1.26,21.0,0.9,21.4,1.44,0.35,9776.0,8332.0,522.0,622.0,247.0,45.0,0.236,32,56.2,0.99,1,0.0,-5.3,1,100.0,4.03
BB Squeeze Breakout,Sun Pharma,1.75,45.0,144997.0,54.25,0.19,0.03,39.6,111,7.32,-3.86,1.15,22.0,0.57,21.5,2.61,0.86,28833.0,24424.0,1703.0,1826.0,725.0,131.0,0.238,81,46.9,1.49,17,17.6,-2.18,13,23.1,-1.58
Bollinger Band Bounce,SBI Life,1.11,8.83,108828.0,15.84,0.19,0.07,66.7,18,3.14,-4.3,1.4,12.0,0.65,7.7,1.62,0.51,4258.0,3585.0,276.0,268.0,106.0,19.0,0.239,18,66.7,0.66,0,0.0,0.0,0,0.0,0.0
52-Week High Breakout,Asian Paints,1.35,33.3,133298.0,26.03,0.18,0.05,42.5,40,9.01,-4.64,1.27,46.0,1.16,21.4,1.71,0.36,10582.0,8975.0,614.0,670.0,267.0,48.0,0.238,40,42.5,1.16,0,0.0,0.0,0,0.0,0.0
ADX Breakout,Dr. Reddy's,0.94,22.18,122177.0,22.96,0.18,0.04,32.4,37,5.95,-1.81,1.48,14.0,0.71,21.4,1.27,0.33,8892.0,7494.0,568.0,560.0,223.0,40.0,0.239,35,34.3,0.85,0,0.0,0.0,2,0.0,-1.79
RSI Oversold Bounce,Apollo Hosp.,1.25,30.49,130488.0,32.63,0.18,0.04,50.0,48,6.91,-5.3,1.24,19.0,0.8,21.4,1.64,0.39,11363.0,9568.0,736.0,714.0,284.0,51.0,0.239,42,50.0,0.65,3,33.3,-0.88,3,66.7,4.66
Bollinger Band Bounce,Apollo Hosp.,1.13,27.25,127255.0,19.45,0.18,0.06,53.3,45,4.94,-4.13,1.28,11.0,0.71,21.4,1.57,0.44,12559.0,10685.0,690.0,798.0,317.0,57.0,0.236,44,54.5,0.82,0,0.0,0.0,1,0.0,-4.3
Stochastic Reversal,Apollo Hosp.,0.68,15.67,115675.0,13.12,0.18,0.05,37.8,37,4.33,-1.86,1.38,4.0,0.48,21.4,1.01,0.33,8370.0,7024.0,568.0,525.0,209.0,38.0,0.239,30,40.0,0.35,4,50.0,3.3,3,0.0,-2.05
Trend + RSI Pullback,Apollo Hosp.,0.71,16.35,116347.0,11.12,0.18,0.06,47.1,17,4.61,-2.16,1.77,10.0,1.03,21.4,0.88,0.17,4290.0,3628.0,261.0,271.0,108.0,19.0,0.238,14,42.9,0.53,0,0.0,0.0,3,66.7,3.36
Trend + RSI Pullback,Hindalco,0.86,20.16,120161.0,17.1,0.18,0.05,52.9,17,5.63,-3.58,1.64,10.0,1.29,21.5,1.03,0.17,4308.0,3644.0,261.0,271.0,108.0,19.0,0.238,16,50.0,0.84,0,0.0,0.0,1,100.0,8.62
ADX Breakout,TCS,0.95,22.36,122358.0,20.59,0.17,0.05,38.9,54,4.86,-2.28,1.26,14.0,0.5,21.5,1.46,0.52,14182.0,12022.0,828.0,899.0,357.0,64.0,0.237,54,38.9,0.5,0,0.0,0.0,0,0.0,0.0
Golden Cross,ICICI Bank,0.78,18.2,118202.0,23.38,0.17,0.03,40.0,5,20.0,-6.12,1.93,42.0,4.32,21.4,0.83,0.05,1236.0,1044.0,77.0,77.0,31.0,6.0,0.242,5,40.0,4.32,0,0.0,0.0,0,0.0,0.0
Triple MA Momentum,SBI,0.73,17.0,117001.0,10.23,0.17,0.07,35.7,14,8.66,-2.69,1.71,20.0,1.36,21.4,0.86,0.13,3271.0,2752.0,215.0,205.0,82.0,15.0,0.24,14,35.7,1.36,0,0.0,0.0,0,0.0,0.0
RSI Oversold Bounce,Nestle,0.95,16.57,116567.0,19.43,0.17,0.05,58.6,29,4.62,-4.87,1.29,27.0,0.69,16.2,1.3,0.35,6630.0,5569.0,445.0,416.0,165.0,30.0,0.239,27,55.6,0.3,0,0.0,0.0,2,100.0,5.94
BB Squeeze Breakout,HCL Tech,1.4,34.87,134875.0,50.19,0.17,0.03,38.3,115,8.03,-4.13,1.16,20.0,0.52,21.5,2.09,0.69,21050.0,17363.0,1764.0,1298.0,516.0,93.0,0.245,89,39.3,0.64,10,20.0,-2.07,16,43.8,1.47
52-Week High Breakout,HCL Tech,1.4,34.88,134878.0,45.54,0.17,0.03,34.3,35,14.77,-5.44,1.3,47.0,1.49,21.5,1.66,0.26,7555.0,6320.0,537.0,471.0,188.0,34.0,0.242,35,34.3,1.49,0,0.0,0.0,0,0.0,0.0
MACD Trend,Titan,1.35,33.42,133418.0,36.48,0.17,0.04,38.9,108,5.54,-2.86,1.19,12.0,0.4,21.5,2.12,0.77,23566.0,19723.0,1657.0,1475.0,586.0,105.0,0.24,91,38.5,0.54,4,0.0,-3.49,13,53.8,0.62
Bollinger Band Bounce,Sun Pharma,0.98,23.25,123248.0,23.24,0.17,0.04,53.4,58,4.55,-4.17,1.2,9.0,0.49,21.5,1.5,0.52,14320.0,12090.0,890.0,904.0,359.0,65.0,0.238,55,52.7,0.44,0,0.0,0.0,3,66.7,1.45
Stochastic Reversal,Cipla,0.61,13.84,113844.0,9.04,0.17,0.07,30.4,23,5.45,-1.43,1.56,4.0,0.66,21.5,0.84,0.23,5787.0,4892.0,353.0,365.0,145.0,26.0,0.238,20,35.0,0.9,2,0.0,-0.51,1,0.0,-1.72
BB Squeeze Breakout,Cipla,1.44,36.03,136025.0,29.75,0.17,0.05,40.0,100,6.53,-3.5,1.13,21.0,0.51,21.5,2.38,0.93,29441.0,25123.0,1534.0,1879.0,746.0,134.0,0.236,64,34.4,0.03,15,40.0,-0.53,21,57.1,2.74
MACD Trend,Wipro,1.04,24.88,124878.0,29.81,0.16,0.03,39.2,74,5.57,-2.87,1.21,14.0,0.43,21.5,1.63,0.59,16521.0,13851.0,1135.0,1036.0,411.0,74.0,0.24,57,40.4,0.56,7,28.6,-0.83,10,40.0,0.59
Trend + RSI Pullback,M&M,0.49,10.97,110966.0,12.83,0.16,0.04,46.2,13,6.66,-3.82,1.41,10.0,1.01,21.4,0.61,0.13,3022.0,2542.0,199.0,190.0,75.0,14.0,0.239,11,45.5,1.35,1,0.0,-6.3,1,100.0,4.6
ADX Breakout,Coal India,0.79,12.2,112201.0,13.66,0.16,0.06,28.0,25,6.98,-1.78,1.39,11.0,0.67,14.6,1.14,0.34,5723.0,4807.0,383.0,359.0,143.0,26.0,0.239,23,30.4,0.88,0,0.0,0.0,2,0.0,-1.68
52-Week High Breakout,Coal India,1.21,19.07,119074.0,32.68,0.16,0.04,31.6,19,19.65,-5.59,1.24,31.0,2.38,14.6,1.47,0.26,4621.0,3898.0,291.0,291.0,116.0,21.0,0.24,19,31.6,2.38,0,0.0,0.0,0,0.0,0.0
Golden Cross,Eicher Motors,0.76,17.57,117567.0,23.42,0.16,0.03,44.4,9,12.25,-5.51,1.57,30.0,2.38,21.4,0.85,0.09,2318.0,1964.0,138.0,146.0,58.0,10.0,0.239,7,57.1,5.15,0,0.0,0.0,2,0.0,-7.3
RSI Oversold Bounce,Adani Ports,1.0,18.98,118976.0,17.34,0.16,0.06,45.2,31,8.25,-5.3,1.2,16.0,0.82,17.5,1.36,0.36,7685.0,6491.0,476.0,485.0,193.0,35.0,0.238,28,46.4,1.05,3,33.3,-1.29,0,0.0,0.0
Bollinger Band Bounce,Infosys,0.87,20.3,120303.0,19.94,0.15,0.04,57.9,38,3.97,-4.04,1.29,11.0,0.6,21.5,1.23,0.36,9664.0,8175.0,583.0,611.0,243.0,44.0,0.237,36,61.1,0.87,0,0.0,0.0,2,0.0,-4.3
52-Week High Breakout,L&T,1.03,24.48,124476.0,38.56,0.15,0.03,40.0,35,11.75,-5.76,1.16,37.0,1.25,21.5,1.41,0.38,10562.0,9025.0,537.0,674.0,268.0,48.0,0.236,35,40.0,1.25,0,0.0,0.0,0,0.0,0.0
RSI Oversold Bounce,HCL Tech,0.81,18.96,118961.0,19.16,0.15,0.04,55.9,34,5.43,-5.3,1.24,21.0,0.7,21.5,1.12,0.31,8035.0,6765.0,522.0,505.0,201.0,36.0,0.239,30,60.0,1.25,2,50.0,-1.65,2,0.0,-5.3
ADX Breakout,Wipro,0.81,18.86,118856.0,21.1,0.15,0.04,33.3,27,8.91,-3.05,1.37,14.0,0.93,21.5,1.04,0.23,6047.0,5071.0,414.0,378.0,151.0,27.0,0.24,25,36.0,1.36,0,0.0,0.0,2,0.0,-4.46
52-Week High Breakout,Titan,1.06,25.34,125337.0,51.43,0.15,0.02,35.7,42,15.89,-5.85,1.14,38.0,1.91,21.5,1.44,0.38,10432.0,8812.0,644.0,658.0,262.0,47.0,0.24,41,36.6,2.16,0,0.0,0.0,1,0.0,-8.29
Bollinger Band Bounce,JSW Steel,1.0,23.85,123848.0,40.66,0.15,0.02,42.5,73,6.94,-4.31,1.15,7.0,0.47,21.5,1.57,0.56,15697.0,13123.0,1120.0,981.0,390.0,70.0,0.241,70,44.3,0.67,0,0.0,0.0,3,0.0,-4.3
Trend + RSI Pullback,Bajaj Auto,0.43,9.65,109652.0,14.86,0.15,0.03,44.4,18,5.05,-2.88,1.34,12.0,0.65,21.5,0.6,0.17,4145.0,3483.0,276.0,260.0,103.0,19.0,0.239,16,43.8,0.65,0,0.0,0.0,2,50.0,0.62
Trend + RSI Pullback,Adani Ports,0.7,13.08,113079.0,16.71,0.15,0.04,38.5,13,7.18,-2.58,1.64,14.0,1.17,17.5,0.86,0.15,3026.0,2545.0,199.0,190.0,76.0,14.0,0.239,12,41.7,1.49,0,0.0,0.0,1,0.0,-2.57
Triple MA Momentum,ITC,0.61,13.98,113981.0,28.47,0.14,0.02,40.0,20,8.47,-4.06,1.31,22.0,0.95,21.4,0.79,0.18,4418.0,3702.0,307.0,276.0,110.0,20.0,0.24,20,40.0,0.95,0,0.0,0.0,0,0.0,0.0
52-Week High Breakout,ITC,0.89,20.98,120976.0,42.98,0.14,0.02,43.8,32,8.42,-4.8,1.25,48.0,0.98,21.4,1.17,0.27,7249.0,6084.0,491.0,454.0,181.0,33.0,0.24,32,43.8,0.98,0,0.0,0.0,0,0.0,0.0
Golden Cross,Britannia,0.51,11.64,111639.0,22.23,0.14,0.02,28.6,7,17.84,-4.04,1.51,48.0,2.21,21.5,0.59,0.08,1817.0,1539.0,107.0,114.0,46.0,8.0,0.239,7,28.6,2.21,0,0.0,0.0,0,0.0,0.0
MACD Trend,Bajaj Auto,0.89,20.92,120918.0,43.55,0.14,0.02,44.6,101,4.33,-2.92,1.13,14.0,0.31,21.5,1.73,0.85,23700.0,19939.0,1549.0,1492.0,592.0,107.0,0.239,77,42.9,0.28,9,44.4,-0.19,15,53.3,0.76
Stochastic Reversal,Adani Ports,0.38,6.89,106889.0,14.5,0.14,0.03,36.8,19,3.93,-1.63,1.34,4.0,0.42,17.5,0.62,0.24,4603.0,3881.0,291.0,290.0,115.0,21.0,0.238,15,33.3,0.16,2,50.0,2.15,2,50.0,0.65
Stochastic Reversal,SBI,0.39,8.78,108779.0,13.55,0.13,0.03,38.7,31,3.56,-1.71,1.25,4.0,0.33,21.4,0.72,0.33,7818.0,6610.0,476.0,495.0,196.0,35.0,0.237,24,37.5,0.24,6,33.3,0.06,1,100.0,4.18
RSI Oversold Bounce,Kotak Bank,0.71,16.44,116441.0,24.61,0.13,0.03,48.8,41,6.52,-5.07,1.13,17.0,0.58,21.5,1.13,0.42,10928.0,9272.0,629.0,693.0,275.0,50.0,0.237,39,51.3,0.88,1,0.0,-5.3,1,0.0,-5.3
52-Week High Breakout,Maruti,0.77,17.79,117793.0,45.76,0.13,0.02,43.6,39,9.93,-6.16,1.11,43.0,0.85,21.5,1.17,0.41,10638.0,9038.0,598.0,676.0,268.0,48.0,0.237,38,44.7,1.09,0,0.0,0.0,1,0.0,-8.3
Golden Cross,HCL Tech,0.54,12.18,112179.0,14.59,0.13,0.04,33.3,6,14.71,-3.51,1.81,39.0,2.56,21.5,0.6,0.06,1424.0,1200.0,92.0,89.0,36.0,6.0,0.241,6,33.3,2.56,0,0.0,0.0,0,0.0,0.0
ADX Breakout,Sun Pharma,0.73,17.01,117007.0,22.07,0.13,0.03,39.3,56,5.19,-2.66,1.19,12.0,0.43,21.5,1.22,0.49,12704.0,10663.0,859.0,797.0,317.0,57.0,0.239,54,38.9,0.32,0,0.0,0.0,2,50.0,3.24
Trend + RSI Pullback,Cipla,0.54,12.14,112139.0,14.98,0.13,0.04,41.2,17,5.9,-2.72,1.45,13.0,0.83,21.5,0.7,0.16,3929.0,3303.0,261.0,247.0,98.0,18.0,0.239,15,40.0,0.49,0,0.0,0.0,2,50.0,3.41
Golden Cross,Hero MotoCorp,0.65,14.79,114793.0,20.58,0.13,0.03,36.4,11,15.99,-5.95,1.4,65.0,2.03,21.4,0.74,0.09,2263.0,1886.0,169.0,140.0,56.0,10.0,0.243,11,36.4,2.03,0,0.0,0.0,0,0.0,0.0
MACD Trend,BPCL,0.82,19.21,119213.0,29.76,0.13,0.03,41.5,82,5.27,-3.08,1.14,11.0,0.38,21.4,1.47,0.65,17630.0,14738.0,1258.0,1103.0,438.0,79.0,0.24,67,41.8,0.4,5,80.0,4.25,10,20.0,-1.67
Trend + RSI Pullback,UPL,0.39,8.64,108643.0,13.36,0.13,0.03,33.3,12,6.86,-2.16,1.5,10.0,0.84,21.4,0.51,0.12,2814.0,2368.0,184.0,177.0,70.0,13.0,0.239,12,33.3,0.84,0,0.0,0.0,0,0.0,0.0
MACD Trend,Reliance,0.72,16.53,116529.0,48.8,0.12,0.01,33.0,97,7.19,-3.03,1.07,13.0,0.34,21.4,1.67,0.96,26255.0,22295.0,1488.0,1669.0,662.0,119.0,0.236,75,34.7,0.24,8,25.0,0.88,14,28.6,0.59
Stochastic Reversal,L&T,0.42,9.37,109373.0,9.92,0.12,0.04,23.3,30,5.46,-1.19,1.36,3.0,0.36,21.5,0.7,0.28,6775.0,5685.0,460.0,425.0,169.0,30.0,0.239,23,17.4,-0.29,6,50.0,2.96,1,0.0,-0.1
Stochastic Reversal,Asian Paints,0.36,8.11,108113.0,13.63,0.12,0.03,27.5,40,4.04,-1.19,1.23,4.0,0.25,21.4,0.76,0.4,9548.0,8042.0,614.0,602.0,239.0,43.0,0.238,37,24.3,0.07,0,0.0,0.0,3,66.7,2.46
Trend + RSI Pullback,ONGC,0.43,9.69,109691.0,9.56,0.12,0.05,40.0,20,5.47,-2.68,1.3,13.0,0.58,21.4,0.63,0.2,4660.0,3919.0,307.0,293.0,116.0,21.0,0.239,16,43.8,1.14,1,0.0,-3.64,3,33.3,-1.03
RSI Oversold Bounce,M&M,0.58,13.12,113121.0,27.43,0.12,0.02,50.0,30,6.62,-5.3,1.16,19.0,0.66,21.4,0.86,0.28,6951.0,5843.0,460.0,437.0,174.0,31.0,0.239,28,46.4,0.28,1,100.0,7.53,1,100.0,4.36
Golden Cross,Titan,0.62,14.24,114237.0,25.3,0.12,0.02,33.3,12,15.46,-5.11,1.33,44.0,1.75,21.5,0.74,0.12,2894.0,2440.0,184.0,182.0,72.0,13.0,0.24,12,33.3,1.75,0,0.0,0.0,0,0.0,0.0
Bollinger Band Bounce,Coal India,0.61,9.32,109317.0,27.64,0.12,0.02,54.5,33,4.05,-4.02,1.15,12.0,0.38,14.6,1.09,0.48,7820.0,6584.0,506.0,493.0,196.0,35.0,0.238,33,54.5,0.38,0,0.0,0.0,0,0.0,0.0
Stochastic Reversal,Divi's Lab,0.31,6.9,106898.0,16.47,0.12,0.02,41.7,24,3.76,-2.09,1.24,4.0,0.35,21.5,0.55,0.24,5589.0,4700.0,368.0,352.0,140.0,25.0,0.239,20,40.0,0.21,3,33.3,-1.8,1,100.0,9.7
MACD Trend,SBI Life,0.74,5.83,105827.0,18.51,0.12,0.04,42.9,35,4.42,-2.85,1.1,16.0,0.27,7.7,1.71,0.96,8024.0,6740.0,537.0,504.0,200.0,36.0,0.239,25,44.0,0.15,5,20.0,-1.07,5,60.0,2.19
Stochastic Reversal,Shree Cement,0.28,6.16,106162.0,9.55,0.12,0.03,37.1,35,2.39,-1.13,1.26,5.0,0.18,21.4,0.62,0.34,8063.0,6775.0,537.0,507.0,201.0,36.0,0.239,28,39.3,0.1,6,16.7,0.56,1,100.0,0.18
BB Squeeze Breakout,TCS,0.61,13.89,113886.0,56.57,0.11,0.01,37.5,104,6.74,-3.53,1.07,21.0,0.32,21.5,1.41,0.8,21036.0,17500.0,1595.0,1310.0,520.0,94.0,0.242,84,41.7,1.11,13,23.1,-2.49,7,14.3,-3.89
52-Week High Breakout,Bharti Airtel,0.63,14.38,114377.0,37.41,0.11,0.02,48.1,27,8.52,-6.08,1.19,42.0,0.95,21.4,0.85,0.23,5652.0,4715.0,414.0,352.0,140.0,25.0,0.241,26,50.0,1.31,0,0.0,0.0,1,0.0,-8.3
Trend + RSI Pullback,Bajaj Finance,0.36,8.04,108041.0,16.54,0.11,0.02,55.6,9,5.6,-4.5,1.5,10.0,1.11,21.4,0.44,0.08,1866.0,1556.0,138.0,116.0,46.0,8.0,0.242,6,83.3,4.66,1,0.0,-6.3,2,0.0,-5.83
Trend + RSI Pullback,Eicher Motors,0.35,7.83,107829.0,18.09,0.11,0.02,45.5,22,4.55,-2.93,1.24,12.0,0.47,21.4,0.56,0.2,4785.0,4004.0,337.0,299.0,119.0,21.0,0.24,21,42.9,0.45,0,0.0,0.0,1,100.0,0.97
52-Week High Breakout,IndusInd Bank,0.51,11.53,111529.0,46.75,0.11,0.01,35.0,40,13.28,-5.8,1.1,38.0,0.88,21.4,0.82,0.31,7708.0,6387.0,614.0,478.0,190.0,34.0,0.245,40,35.0,0.88,0,0.0,0.0,0,0.0,0.0
MACD Trend,Infosys,0.47,10.5,110496.0,38.27,0.1,0.01,41.0,105,4.68,-2.86,1.06,14.0,0.23,21.5,1.37,0.9,23321.0,19543.0,1611.0,1463.0,580.0,104.0,0.239,75,41.3,0.12,19,31.6,-0.68,11,54.5,2.52
MACD Trend,SBI,0.45,10.1,110096.0,41.2,0.1,0.01,34.9,86,6.7,-3.14,1.05,12.0,0.29,21.4,1.27,0.82,21071.0,17780.0,1319.0,1331.0,528.0,95.0,0.238,66,37.9,0.78,9,11.1,-3.19,11,36.4,0.18
Golden Cross,Bajaj Finance,0.46,10.44,110443.0,20.84,0.1,0.02,44.4,9,11.51,-6.08,1.34,38.0,1.74,21.4,0.55,0.09,2099.0,1766.0,138.0,131.0,52.0,9.0,0.24,9,44.4,1.74,0,0.0,0.0,0,0.0,0.0
Triple MA Momentum,Bajaj Finance,0.44,9.89,109893.0,15.43,0.1,0.03,50.0,20,4.94,-3.68,1.28,14.0,0.63,21.4,0.63,0.19,4467.0,3745.0,307.0,280.0,111.0,20.0,0.24,19,52.6,0.94,0,0.0,0.0,1,0.0,-5.3
RSI Oversold Bounce,Bajaj Finance,0.45,10.02,110024.0,31.98,0.1,0.01,43.8,32,8.08,-5.3,1.1,13.0,0.55,21.4,0.77,0.32,7773.0,6555.0,491.0,490.0,195.0,35.0,0.238,28,46.4,0.5,2,50.0,7.19,2,0.0,-5.3
MACD Trend,Tata Steel,0.45,10.0,110001.0,43.9,0.1,0.01,29.7,91,7.42,-2.74,1.04,11.0,0.27,21.5,1.48,1.03,26966.0,23017.0,1396.0,1724.0,684.0,123.0,0.235,63,31.7,0.34,11,0.0,-3.23,17,41.2,2.28
Triple MA Momentum,HDFC Bank,0.29,6.36,106358.0,14.76,0.09,0.02,29.4,17,7.41,-2.34,1.22,19.0,0.53,21.5,0.46,0.18,4098.0,3454.0,261.0,258.0,103.0,18.0,0.238,16,31.2,0.64,0,0.0,0.0,1,0.0,-1.27
Bollinger Band Bounce,L&T,0.4,8.89,108889.0,24.54,0.09,0.02,49.1,57,4.88,-4.17,1.07,10.0,0.27,21.5,0.94,0.54,13236.0,11127.0,874.0,833.0,330.0,59.0,0.239,55,49.1,0.32,0,0.0,0.0,2,50.0,-0.94
ADX Breakout,Maruti,0.4,8.87,108871.0,23.07,0.09,0.02,30.8,52,5.43,-2.02,1.12,12.0,0.27,21.5,0.9,0.5,12293.0,10348.0,798.0,774.0,307.0,55.0,0.238,49,30.6,0.29,0,0.0,0.0,3,33.3,-0.09
ADX Breakout,Bajaj Finance,0.44,9.82,109824.0,30.55,0.09,0.01,43.5,62,4.69,-3.11,1.08,13.0,0.29,21.4,1.07,0.63,15769.0,13338.0,951.0,998.0,396.0,71.0,0.237,58,46.6,0.58,0,0.0,0.0,4,0.0,-3.97
BB Squeeze Breakout,Coal India,0.29,4.3,104300.0,36.79,0.09,0.01,31.4,70,9.66,-4.05,1.0,18.0,0.26,14.6,1.18,0.89,14297.0,11903.0,1074.0,892.0,353.0,64.0,0.241,51,31.4,0.44,11,45.5,1.02,8,12.5,-1.99
Golden Cross,Apollo Hosp.,0.37,8.18,108177.0,22.96,0.09,0.02,66.7,9,5.34,-7.23,1.41,58.0,1.15,21.4,0.45,0.08,1952.0,1633.0,138.0,122.0,49.0,9.0,0.241,8,75.0,2.21,0,0.0,0.0,1,0.0,-7.3
Triple MA Momentum,Apollo Hosp.,0.32,7.04,107037.0,22.09,0.09,0.01,33.3,18,7.01,-2.74,1.19,14.0,0.51,21.4,0.52,0.21,4814.0,4085.0,276.0,305.0,121.0,22.0,0.237,16,25.0,-0.23,0,0.0,0.0,2,100.0,6.42
RSI Oversold Bounce,Bajaj Auto,0.39,8.77,108771.0,39.94,0.09,0.01,50.0,38,6.1,-5.3,1.08,20.0,0.4,21.5,0.79,0.4,9699.0,8206.0,583.0,614.0,244.0,44.0,0.237,33,54.5,0.97,4,25.0,-2.89,1,0.0,-5.3
Bollinger Band Bounce,SBI,0.29,6.43,106431.0,26.07,0.08,0.01,49.1,55,4.91,-4.3,1.04,11.0,0.22,21.4,0.87,0.58,14114.0,11945.0,844.0,894.0,355.0,64.0,0.237,53,50.9,0.39,0,0.0,0.0,2,0.0,-4.3
Golden Cross,ONGC,0.29,6.39,106394.0,17.29,0.08,0.02,50.0,8,8.16,-5.86,1.27,54.0,1.15,21.4,0.37,0.08,1900.0,1600.0,123.0,119.0,48.0,9.0,0.239,8,50.0,1.15,0,0.0,0.0,0,0.0,0.0
ADX Breakout,Tech Mahindra,0.33,6.36,106365.0,33.62,0.08,0.01,29.3,41,8.85,-3.08,1.07,15.0,0.41,18.8,0.79,0.46,9492.0,7978.0,629.0,597.0,237.0,43.0,0.239,41,29.3,0.41,0,0.0,0.0,0,0.0,0.0
Bollinger Band Bounce,BPCL,0.31,6.87,106867.0,25.92,0.08,0.01,43.8,48,5.99,-4.16,1.06,11.0,0.28,21.4,0.77,0.46,11109.0,9337.0,736.0,699.0,277.0,50.0,0.239,48,43.8,0.28,0,0.0,0.0,0,0.0,0.0
