date,equity
2022-02-24,318983.47
2022-02-25,322230.27
2022-02-28,322942.86
2022-03-02,322460.05
2022-03-03,322508.58
2022-03-04,320089.11
2022-03-07,318022.43
2022-03-08,318169.21
2022-03-09,319908.69
2022-03-10,321420.05
2022-03-11,321883.07
2022-03-14,321480.15
2022-03-15,319446.79
2022-03-16,322988.53
2022-03-17,324871.4
2022-03-21,325469.32
2022-03-22,326190.12
2022-03-23,326806.68
2022-03-24,326657.67
2022-03-25,326139.81
2022-03-28,326697.63
2022-03-29,327250.93
2022-03-30,328004.09
2022-03-31,328003.57
2022-04-01,329540.27
2022-04-04,331504.59
2022-04-05,332191.17
2022-04-06,331811.62
2022-04-07,330657.34
2022-04-08,331645.49
2022-04-11,330855.9
2022-04-12,329659.9
2022-04-13,329652.32
2022-04-18,328084.63
2022-04-19,327188.81
2022-04-20,327752.16
2022-04-21,328601.74
2022-04-22,326598.74
2022-04-25,324138.19
2022-04-26,326029.4
2022-04-27,324648.61
2022-04-28,326031.35
2022-04-29,325419.6
2022-05-02,318510.98
2022-05-04,322619.23
2022-05-05,322672.19
2022-05-06,320081.67
2022-05-09,318438.13
2022-05-10,316869.91
2022-05-11,316153.07
2022-05-12,313194.03
2022-05-13,313867.31
2022-05-16,315152.83
2022-05-17,317693.89
2022-05-18,317859.23
2022-05-19,314977.05
2022-05-20,317212.0
2022-05-23,317135.03
2022-05-24,315729.95
2022-05-25,313801.36
2022-05-26,314553.15
2022-05-27,316804.77
2022-05-30,319683.18
2022-05-31,320056.06
2022-06-01,319316.24
2022-06-02,319403.13
2022-06-03,319338.75
2022-06-06,319069.78
2022-06-07,318071.87
2022-06-08,318699.3
2022-06-09,318887.03
2022-06-10,317964.08
2022-06-13,314239.85
2022-06-14,313603.58
2022-06-15,313599.15
2022-06-16,310963.92
2022-06-17,310136.47
2022-06-20,309861.31
2022-06-21,311935.07
2022-06-22,310332.03
2022-06-23,311314.22
2022-06-24,313257.44
2022-06-27,315228.52
2022-06-28,315108.21
2022-06-29,314044.57
2022-06-30,313686.08
2022-07-01,313534.27
2022-07-04,314962.84
2022-07-05,314693.14
2022-07-06,316003.47
2022-07-07,317322.24
2022-07-08,318047.87
2022-07-11,318449.73
2022-07-12,317147.43
2022-07-13,317195.18
2022-07-14,316722.98
2022-07-15,317200.42
2022-07-18,319201.95
2022-07-19,319657.55
2022-07-20,320951.19
2022-07-21,321991.71
2022-07-22,322425.14
2022-07-25,322070.26
2022-07-26,320643.34
2022-07-27,321566.69
2022-07-28,322829.17
2022-07-29,324059.52
2022-08-01,325592.62
2022-08-02,325720.09
2022-08-03,325720.84
2022-08-04,326382.6
2022-08-05,326794.92
2022-08-08,327453.98
2022-08-10,326808.56
2022-08-11,328205.3
2022-08-12,328389.17
2022-08-16,329403.73
2022-08-17,323461.99
2022-08-18,330116.48
2022-08-19,328583.67
2022-08-22,326523.82
2022-08-23,326998.45
2022-08-24,327196.39
2022-08-25,327582.5
2022-08-26,328331.58
2022-08-29,326520.91
2022-08-30,328930.83
2022-09-01,328011.5
2022-09-02,328057.28
2022-09-05,328358.56
2022-09-06,328833.44
2022-09-07,328470.69
2022-09-08,329337.37
2022-09-09,330181.37
2022-09-12,331035.02
2022-09-13,331784.61
2022-09-14,330891.92
2022-09-15,330758.33
2022-09-16,328250.07
2022-09-19,327791.95
2022-09-20,329396.16
2022-09-21,328408.53
2022-09-22,328205.19
2022-09-23,325985.31
2022-09-26,323083.26
2022-09-27,323223.73
2022-09-28,321946.71
2022-09-29,322810.4
2022-09-30,324195.3
2022-10-03,322809.02
2022-10-04,325237.79
2022-10-06,326690.75
2022-10-07,326459.11
2022-10-10,325008.59
2022-10-11,322905.89
2022-10-12,323356.7
2022-10-13,322470.82
2022-10-14,323530.47
2022-10-17,323755.31
2022-10-18,326246.13
2022-10-19,326024.45
2022-10-20,326256.39
2022-10-21,326067.76
2022-10-24,327829.64
2022-10-25,327151.77
2022-10-27,327558.87
2022-10-28,327168.64
2022-10-31,328488.4
2022-11-01,330368.37
2022-11-02,330273.54
2022-11-03,329718.32
2022-11-04,329766.82
2022-11-07,330895.38
2022-11-09,330360.19
2022-11-10,328833.93
2022-11-11,331233.44
2022-11-14,331358.74
2022-11-15,332205.11
2022-11-16,332314.14
2022-11-17,331988.76
2022-11-18,331479.94
2022-11-21,330823.54
2022-11-22,330980.74
2022-11-23,331735.06
2022-11-24,332922.06
2022-11-25,333388.09
2022-11-28,333450.88
2022-11-29,334298.06
2022-11-30,334965.87
2022-12-01,336140.29
2022-12-02,336160.28
2022-12-05,337039.43
2022-12-06,336566.81
2022-12-07,335945.58
2022-12-08,336624.82
2022-12-09,336233.2
2022-12-12,336366.85
2022-12-13,337307.82
2022-12-14,338192.35
2022-12-15,336468.26
2022-12-16,334280.49
2022-12-19,334890.36
2022-12-20,333734.24
2022-12-21,332885.44
2022-12-22,332315.91
2022-12-23,328752.8
2022-12-26,331233.54
2022-12-27,332212.21
2022-12-28,332201.17
2022-12-29,331893.64
2022-12-30,332886.57
2023-01-02,333263.21
2023-01-03,333779.36
2023-01-04,332589.03
2023-01-05,332931.65
2023-01-06,332114.8
2023-01-09,333460.52
2023-01-10,332722.57
2023-01-11,332514.97
2023-01-12,332280.63
2023-01-13,333320.09
2023-01-16,333072.7
2023-01-17,333325.7
2023-01-18,334055.03
2023-01-19,333619.86
2023-01-20,333437.78
2023-01-23,334394.21
2023-01-24,334565.26
2023-01-25,332787.79
2023-01-27,331841.29
2023-01-30,331458.8
2023-01-31,331764.83
2023-02-01,331244.27
2023-02-02,332533.19
2023-02-03,333233.93
2023-02-06,333117.58
2023-02-07,333093.41
2023-02-08,334121.15
2023-02-09,334181.2
2023-02-10,333523.77
2023-02-13,332576.7
2023-02-14,333151.59
2023-02-15,333505.22
2023-02-16,334697.95
2023-02-17,333187.67
2023-02-20,332566.15
2023-02-21,332229.56
2023-02-22,330400.19
2023-02-23,330516.13
2023-02-24,329721.82
2023-02-27,328857.49
2023-02-28,328613.2
2023-03-01,330584.52
2023-03-02,330032.98
2023-03-03,331437.86
2023-03-06,332452.02
2023-03-08,332752.44
2023-03-09,331535.85
2023-03-10,330090.86
2023-03-13,328095.53
2023-03-14,327461.02
2023-03-15,327606.31
2023-03-16,328138.22
2023-03-17,329249.06
2023-03-20,327773.09
2023-03-21,328349.15
2023-03-22,329136.43
2023-03-23,328776.69
2023-03-24,327963.63
2023-03-27,327749.53
2023-03-28,327089.86
2023-03-29,329128.21
2023-03-31,331119.25
2023-04-03,331801.79
2023-04-05,332166.42
2023-04-06,332020.62
2023-04-10,332531.16
2023-04-11,333411.24
2023-04-12,333919.17
2023-04-13,333716.02
2023-04-17,334243.57
2023-04-18,334780.02
2023-04-19,333996.68
2023-04-20,333927.02
2023-04-21,333579.31
2023-04-24,334348.88
2023-04-25,334308.92
2023-04-26,334853.38
2023-04-27,335311.7
2023-04-28,336957.75
2023-05-02,338142.51
2023-05-03,337524.04
2023-05-04,338614.56
2023-05-05,338028.29
2023-05-08,339321.09
2023-05-09,339109.84
2023-05-10,339216.96
2023-05-11,333199.0
2023-05-12,333056.46
2023-05-15,333649.52
2023-05-16,340500.31
2023-05-17,340063.39
2023-05-18,327583.28
2023-05-19,340330.99
2023-05-22,340480.46
2023-05-23,341078.61
2023-05-24,340753.35
2023-05-25,341228.04
2023-05-26,342394.84
2023-05-29,331448.38
2023-05-30,344105.87
2023-05-31,343968.71
2023-06-01,344189.43
2023-06-02,345345.76
2023-06-05,345806.25
2023-06-06,345735.65
2023-06-07,347034.91
2023-06-08,346433.91
2023-06-09,346268.51
2023-06-12,346933.63
2023-06-13,348147.22
2023-06-14,348496.49
2023-06-15,348967.1
2023-06-16,350084.61
2023-06-19,349936.86
2023-06-20,350185.99
2023-06-21,350231.31
2023-06-22,349078.85
2023-06-23,347860.81
2023-06-26,348204.85
2023-06-27,349112.23
2023-06-28,350073.95
2023-06-30,351529.13
2023-07-03,339745.99
2023-07-04,340082.24
2023-07-05,340669.01
2023-07-06,341729.92
2023-07-07,354135.96
2023-07-10,353234.18
2023-07-11,341047.68
2023-07-12,341326.71
2023-07-13,341256.93
2023-07-14,356150.2
2023-07-17,356933.96
2023-07-18,343203.17
2023-07-19,357822.12
2023-07-20,358631.93
2023-07-21,357625.09
2023-07-24,357293.48
2023-07-25,343826.98
2023-07-26,358398.52
2023-07-27,345163.06
2023-07-28,359685.43
2023-07-31,346916.86
2023-08-01,346897.22
2023-08-02,344841.61
2023-08-03,357603.83
2023-08-04,358974.15
2023-08-07,359440.37
2023-08-08,359473.73
2023-08-09,359916.29
2023-08-10,359080.8
2023-08-11,358469.54
2023-08-14,358061.98
2023-08-16,358053.55
2023-08-17,357660.75
2023-08-18,356609.85
2023-08-21,357499.63
2023-08-22,358243.3
2023-08-23,359177.45
2023-08-24,359410.29
2023-08-25,357880.45
2023-08-28,358595.16
2023-08-29,358960.33
2023-08-30,359470.95
2023-08-31,359163.23
2023-09-01,360600.98
2023-09-04,361950.75
2023-09-05,362913.21
2023-09-06,362877.13
2023-09-07,363508.31
2023-09-08,364268.17
2023-09-11,365503.53
2023-09-12,363477.37
2023-09-13,364293.1
2023-09-14,365218.42
2023-09-15,365796.2
2023-09-18,366030.19
2023-09-20,364984.77
2023-09-21,362957.99
2023-09-22,362901.14
2023-09-25,362843.69
2023-09-26,362716.59
2023-09-27,363367.13
2023-09-28,361686.91
2023-09-29,363777.0
2023-10-03,363304.73
2023-10-04,361114.74
2023-10-05,361793.69
2023-10-06,355439.15
2023-10-09,361113.09
2023-10-10,363256.85
2023-10-11,364330.94
2023-10-12,364949.43
2023-10-13,364116.36
2023-10-16,364305.71
2023-10-17,365130.28
2023-10-18,364190.4
2023-10-19,363588.87
2023-10-20,361912.64
2023-10-23,358635.99
2023-10-25,357666.16
2023-10-26,355884.34
2023-10-27,357837.11
2023-10-30,358121.97
2023-10-31,358028.59
2023-11-01,357608.79
2023-11-02,359779.19
2023-11-03,361146.27
2023-11-06,363211.38
2023-11-07,363723.42
2023-11-08,364822.21
2023-11-09,364808.56
2023-11-10,365038.93
2023-11-13,366348.85
2023-11-15,368563.2
2023-11-16,362202.43
2023-11-17,362191.95
2023-11-20,362287.88
2023-11-21,362740.45
2023-11-22,355357.47
2023-11-23,362993.66
2023-11-24,370453.04
2023-11-28,371003.7
2023-11-29,372414.3
2023-11-30,373504.28
2023-12-01,375178.76
2023-12-04,378159.02
2023-12-05,378467.6
2023-12-06,379345.36
2023-12-07,379483.8
2023-12-08,379428.66
2023-12-11,380140.97
2023-12-12,379640.63
2023-12-13,380911.42
2023-12-14,383337.18
2023-12-15,385166.56
2023-12-18,385367.11
2023-12-19,385695.36
2023-12-20,381707.34
2023-12-21,383239.63
2023-12-22,384411.02
2023-12-26,385400.01
2023-12-27,386612.22
2023-12-28,388956.76
2023-12-29,389035.18
2024-01-01,389214.83
2024-01-02,388475.45
2024-01-03,388093.42
2024-01-04,389351.97
2024-01-05,389546.01
2024-01-08,387499.3
2024-01-09,387989.94
2024-01-10,388083.73
2024-01-11,388842.77
2024-01-12,390351.19
2024-01-15,391524.49
2024-01-16,391756.81
2024-01-17,388683.45
2024-01-18,342116.03
2024-01-19,390572.9
2024-01-23,387584.6
2024-01-24,390567.95
2024-01-25,389965.24
2024-01-29,392807.65
2024-01-30,391898.67
2024-01-31,393928.18
2024-02-01,393853.3
2024-02-02,396363.75
2024-02-05,396408.15
2024-02-06,398076.56
2024-02-07,398998.56
2024-02-08,398834.88
2024-02-09,398467.9
2024-02-12,395306.55
2024-02-13,396580.5
2024-02-14,398054.64
2024-02-15,400170.98
2024-02-16,401727.0
2024-02-19,402682.06
2024-02-20,402358.48
2024-02-21,400491.02
2024-02-22,402279.34
2024-02-23,402926.47
2024-02-26,402241.75
2024-02-27,402442.72
2024-02-28,399677.48
2024-02-29,400164.47
2024-03-01,402703.28
2024-03-04,404323.25
2024-03-05,403993.6
2024-03-06,404190.69
2024-03-07,405115.61
2024-03-11,404420.16
2024-03-12,402350.53
2024-03-13,396685.68
2024-03-14,399236.05
2024-03-15,397813.57
2024-03-18,397853.09
2024-03-19,394920.89
2024-03-20,395292.84
2024-03-21,398713.33
2024-03-22,399980.25
2024-03-26,400288.43
2024-03-27,400633.67
2024-03-28,402815.33
2024-04-01,404999.33
2024-04-02,405976.66
2024-04-03,406756.14
2024-04-04,407268.34
2024-04-05,408142.13
2024-04-08,409042.65
2024-04-09,409714.04
2024-04-10,403562.64
2024-04-12,402030.47
2024-04-15,398754.28
2024-04-16,398013.58
2024-04-18,396538.79
2024-04-19,396414.29
2024-04-22,398569.21
2024-04-23,399122.4
2024-04-24,400736.0
2024-04-25,402612.09
2024-04-26,403477.86
2024-04-29,404583.19
2024-04-30,405318.06
2024-05-02,406613.93
2024-05-03,406056.37
2024-05-06,405549.78
2024-05-07,402920.04
2024-05-08,403844.01
2024-05-09,400363.97
2024-05-10,401910.64
2024-05-13,402672.08
2024-05-14,404141.43
2024-05-15,405066.0
2024-05-16,407021.31
2024-05-17,408403.91
2024-05-21,410220.25
2024-05-22,410990.92
2024-05-23,412460.41
2024-05-24,412713.35
2024-05-27,412955.97
2024-05-28,412014.93
2024-05-29,411065.87
2024-05-30,408529.84
2024-05-31,408962.35
2024-06-03,416354.12
2024-06-04,409167.35
2024-06-05,409196.2
2024-06-06,413047.49
2024-06-07,416905.62
2024-06-10,417997.73
2024-06-11,418756.92
2024-06-12,420044.55
2024-06-13,421329.24
2024-06-14,422631.81
2024-06-18,423965.56
2024-06-19,423058.59
2024-06-20,423401.5
2024-06-21,422583.94
2024-06-24,422826.05
2024-06-25,423119.65
2024-06-26,423147.31
2024-06-27,423534.35
2024-06-28,424717.32
2024-07-01,425813.18
2024-07-02,425674.89
2024-07-03,427345.99
2024-07-04,429144.27
2024-07-05,430781.42
2024-07-08,431367.16
2024-07-09,432879.04
2024-07-10,432192.27
2024-07-11,432876.95
2024-07-12,432952.74
2024-07-15,434983.32
2024-07-16,435039.98
2024-07-18,434075.17
2024-07-19,429424.37
2024-07-22,430884.2
2024-07-23,429676.83
2024-07-24,430487.97
2024-07-25,429974.37
2024-07-26,434219.78
2024-07-29,436238.97
2024-07-30,436526.16
2024-07-31,437769.41
2024-08-01,437389.28
2024-08-02,433494.38
2024-08-05,425784.79
2024-08-06,422416.86
2024-08-07,428137.97
2024-08-08,426620.96
2024-08-09,429782.92
2024-08-12,429449.5
2024-08-13,427002.48
2024-08-14,426482.28
2024-08-16,431317.3
2024-08-19,432639.35
2024-08-20,434505.78
2024-08-21,435328.44
2024-08-22,436513.33
2024-08-23,435922.09
2024-08-26,437480.7
2024-08-27,285842.36
2024-08-28,438229.94
2024-08-29,437920.79
2024-08-30,439922.92
2024-09-02,439720.75
2024-09-03,439724.02
2024-09-04,438528.74
2024-09-05,438734.76
2024-09-06,434874.4
2024-09-09,434304.85
2024-09-10,436271.76
2024-09-11,434812.53
2024-09-12,439225.57
2024-09-13,440304.24
2024-09-16,441172.07
2024-09-17,440861.17
2024-09-18,439441.93
2024-09-19,438779.89
2024-09-20,442506.18
2024-09-23,445723.9
2024-09-24,446760.59
2024-09-25,446934.87
2024-09-26,449127.94
2024-09-27,450837.41
2024-09-30,449344.65
2024-10-01,450142.62
2024-10-03,445159.86
2024-10-04,443339.4
2024-10-07,437916.9
2024-10-08,440789.32
2024-10-09,442870.73
2024-10-10,442988.23
2024-10-11,444047.13
2024-10-14,444890.94
2024-10-15,443868.7
2024-10-16,442824.65
2024-10-17,438032.63
2024-10-18,439826.97
2024-10-21,435984.87
2024-10-22,428459.56
2024-10-23,428841.59
2024-10-24,427732.26
2024-10-25,423317.27
2024-10-28,426305.81
2024-10-29,428771.75
2024-10-30,285092.33
2024-10-31,427978.41
2024-11-01,411127.29
2024-11-04,425448.98
2024-11-05,285599.62
2024-11-06,435313.28
2024-11-07,433036.05
2024-11-08,430425.3
2024-11-11,430762.37
2024-11-12,425494.57
2024-11-13,417948.73
2024-11-14,417863.07
2024-11-18,415954.43
2024-11-19,418023.29
2024-11-21,415814.12
2024-11-22,422163.19
2024-11-25,428330.08
2024-11-26,427569.24
2024-11-27,430491.27
2024-11-28,428841.7
2024-11-29,431440.79
2024-12-02,434866.67
2024-12-03,438484.22
2024-12-04,440176.34
2024-12-05,441514.53
2024-12-06,443506.53
2024-12-09,444015.5
2024-12-10,444603.67
2024-12-11,436574.97
2024-12-12,444081.29
2024-12-13,445136.97
2024-12-16,445631.89
2024-12-17,442133.82
2024-12-18,439146.8
2024-12-19,436335.26
2024-12-20,428314.67
2024-12-23,430171.72
2024-12-24,431216.25
2024-12-26,432253.23
2024-12-27,432570.32
2024-12-30,428922.36
2024-12-31,430074.04
2025-01-01,430788.63
2025-01-02,435026.06
2025-01-03,435019.3
2025-01-06,425353.21
2025-01-07,427208.73
2025-01-08,425276.96
2025-01-09,422088.52
2025-01-10,416544.02
2025-01-13,405311.6
2025-01-14,410234.63
2025-01-15,412041.98
2025-01-16,415055.51
2025-01-17,416660.59
2025-01-20,420249.76
2025-01-21,414364.2
2025-01-22,413070.66
2025-01-23,415524.8
2025-01-24,412849.84
2025-01-27,405073.1
2025-01-28,402678.52
2025-01-29,408781.06
2025-01-30,410316.48
2025-01-31,415216.86
2025-02-01,423442.3
2025-02-03,418868.65
2025-02-04,425091.06
2025-02-05,427454.16
2025-02-06,426049.98
2025-02-07,426321.97
2025-02-10,422070.67
2025-02-11,414542.14
2025-02-12,414342.99
2025-02-13,413891.35
2025-02-14,409591.26
2025-02-17,409716.76
2025-02-18,409730.99
2025-02-19,413588.12
2025-02-20,405449.51
2025-02-21,403354.85
2025-02-24,399772.27
2025-02-25,397367.67
2025-02-27,395439.03
2025-02-28,386685.16
2025-03-03,387998.69
2025-03-04,387750.42
2025-03-05,394047.86
2025-03-06,397267.33
2025-03-07,396895.32
2025-03-10,391992.22
2025-03-11,392099.45
2025-03-12,390528.5
2025-03-13,388457.22
2025-03-17,391165.76
2025-03-18,393469.51
2025-03-19,403656.85
