date,code,qty,avg,fill,sell_value,charges,growth,pnl_pct,ticket_after
2023-05-03,NSE:FMCGIETF,148,46.271,49.3916,7309.96,22.91,438.94,0.0674,6973.72
2023-05-04,NSE:MOVALUE,139,49.41,53.8461,7484.61,23.09,593.53,0.0898,6985.59
2023-05-10,NSE:MIDCAP,78,86.99,92.7671,7235.83,22.84,427.77,0.0664,6994.14
2023-06-02,NSE:FMCGIETF,141,49.436,52.8071,7445.8,23.05,452.27,0.0682,7003.19
2023-06-06,NSE:HDFCSML250,73,95.08,101.2786,7393.34,23.0,429.5,0.0652,7011.78
2023-06-07,NSE:NIFTYBEES,34,192.63,205.1347,6974.58,22.57,402.59,0.0649,7019.83
2023-06-08,NSE:HDFCSENSEX,101,65.504,71.5124,7222.75,22.82,584.03,0.0917,7031.51
2023-06-12,NSE:MAFANG,116,57.32,61.3186,7112.96,22.71,441.13,0.0698,7040.33
2023-06-13,NSE:MOM100,192,34.5,36.7432,7054.69,22.65,408.04,0.065,7048.5
2023-06-15,NSE:LOWVOLIETF,455,14.409,15.3526,6985.43,22.58,406.76,0.0655,7056.63
2023-06-16,NSE:MIDCAP,75,93.16,99.5104,7463.28,23.07,453.21,0.0682,7065.69
2023-06-21,NSE:CPSEETF,168,41.17,43.996,7391.33,23.0,451.77,0.0686,7074.73
2023-06-30,NSE:ALPL30IETF,359,18.169,19.3646,6951.89,22.54,406.68,0.0658,7082.86
2023-07-03,NSE:MOVALUE,136,51.26,54.7552,7446.71,23.06,452.29,0.0682,7091.91
2023-07-04,NSE:ICICIB22,110,62.89,67.2127,7393.4,23.0,452.5,0.0687,7100.96
2023-07-14,NSE:NV20IETF,664,10.445,11.1538,7406.12,23.01,447.63,0.0679,7109.91
2023-07-17,NSE:HDFCSML250,68,102.92,110.5793,7519.39,23.13,497.7,0.0744,7119.87
2023-07-18,NSE:HDFCSENSEX,102,68.705,73.2956,7476.15,23.09,445.15,0.0668,7128.77
2023-07-19,NSE:MAFANG,112,62.33,67.5324,7563.63,23.18,559.49,0.0835,7139.96
2023-07-20,NSE:PVTBANIETF,316,21.698,23.4246,7402.17,23.01,522.6,0.0796,7150.41
2023-07-21,NSE:HEALTHY,775,8.65,9.2807,7192.54,22.79,466.0,0.0729,7159.73
2023-07-24,NSE:MIDCAP,70,99.53,105.874,7411.18,23.02,421.06,0.0637,7168.15
2023-07-26,NSE:MOM100,190,36.99,39.3506,7476.61,23.09,425.42,0.0638,7176.66
2023-07-28,NSE:CPSEETF,162,43.66,46.5034,7533.55,23.15,437.48,0.0651,7185.41
2023-07-31,NSE:MOVALUE,129,54.63,58.8111,7586.63,23.2,516.16,0.0765,7195.73
2023-08-01,NSE:MASPTOP50,216,30.96,32.937,7114.39,22.71,404.32,0.0639,7203.82
2023-08-07,NSE:PHARMABEES,441,14.61,15.7143,6930.01,22.52,464.48,0.0756,7213.11
2023-08-23,NSE:MIDCAP,67,105.74,112.4275,7532.64,23.14,424.92,0.0632,7221.61
2023-08-29,NSE:HDFCSML250,64,109.91,117.3026,7507.37,23.12,450.01,0.0673,7230.61
2023-08-30,NSE:MIDSELIETF,597,11.068,11.8611,7081.08,22.68,450.8,0.0717,7239.62
2023-09-04,NSE:MOM100,181,39.53,42.4575,7684.81,23.3,506.58,0.0741,7249.76
2023-09-05,NSE:TNIDETF,110,61.39,66.1138,7272.52,22.87,496.75,0.0769,7259.69
2023-09-06,NSE:ICICIB22,104,67.67,72.4575,7535.58,23.15,474.75,0.0707,7269.19
2023-09-07,NSE:CPSEETF,150,47.71,51.4785,7721.77,23.34,541.94,0.079,7280.02
2023-09-08,NSE:MOVALUE,120,59.6,63.7162,7645.94,23.26,470.68,0.0691,7289.44
2023-09-11,NSE:CONSUMBEES,78,86.77,93.5064,7293.5,22.9,502.54,0.0776,7299.49
2023-09-12,NSE:NIFTYBEES,34,204.51,219.9698,7478.97,23.09,502.54,0.0756,7309.54
2023-09-13,NSE:PSUBNKBEES,137,50.35,54.7752,7504.2,23.11,583.14,0.0879,7321.2
2023-09-14,NSE:LOWVOLIETF,457,15.409,16.5225,7550.78,23.16,485.71,0.0723,7330.92
2023-09-15,NSE:BANKBEES,15,440.98,470.2693,7054.04,22.65,416.69,0.0664,7339.25
2023-10-03,NSE:PSUBNKBEES,130,55.91,59.7402,7766.23,23.39,474.54,0.0685,7348.74
2023-10-17,NSE:CPSEETF,143,50.87,54.5254,7797.13,23.42,499.3,0.0719,7358.73
2023-11-08,NSE:ALPL30IETF,363,19.482,20.8142,7555.55,23.17,460.42,0.0684,7367.94
2023-11-13,NSE:HDFCSML250,60,118.57,126.0239,7561.43,23.17,424.06,0.0629,7376.42
2023-11-15,NSE:MON100,56,119.46,127.7221,7152.44,22.75,439.93,0.0692,7385.22
2023-11-16,NSE:HEALTHY,765,9.35,10.02,7665.3,23.28,489.27,0.0717,7395.0
2023-11-17,NSE:MIDCAP,64,112.72,120.3196,7700.45,23.32,463.05,0.0674,7404.26
2023-11-20,NSE:MIDSELIETF,608,11.9,12.6963,7719.35,23.34,460.81,0.0669,7413.48
2023-11-28,NSE:CPSEETF,135,54.13,57.6323,7780.36,23.4,449.41,0.0647,7422.47
2023-11-29,NSE:MOVALUE,112,65.03,69.4605,7779.58,23.4,472.82,0.0681,7431.92
2023-11-30,NSE:ICICIB22,97,74.72,79.89,7749.33,23.37,478.12,0.0692,7441.48
2023-12-01,NSE:MONIFTY500,435,16.89,18.1918,7913.43,23.54,542.74,0.0771,7452.34
2023-12-04,NSE:MOM100,168,42.9,47.1029,7913.29,23.54,682.55,0.098,7465.99
2023-12-05,NSE:ALPL30IETF,352,20.884,22.7852,8020.39,23.65,645.57,0.091,7478.9
2023-12-06,NSE:NV20IETF,634,11.199,12.1808,7722.63,23.34,599.12,0.0877,7490.88
2023-12-07,NSE:ALPHA,186,36.17,39.3306,7315.49,22.92,564.95,0.0874,7502.18
2023-12-08,NSE:CONSUMBEES,78,93.25,100.6992,7854.54,23.48,557.56,0.0799,7513.33
2023-12-11,NSE:CPSEETF,128,57.81,62.6073,8013.73,23.64,590.41,0.083,7525.14
2023-12-12,NSE:MAKEINDIA,74,98.87,106.2536,7862.77,23.49,522.9,0.0747,7535.6
2023-12-13,NSE:MOVALUE,106,69.93,75.6842,8022.53,23.65,586.3,0.0823,7547.33
2023-12-14,NSE:TNIDETF,109,66.41,72.917,7947.95,23.57,685.69,0.098,7561.04
2023-12-15,NSE:PSUBNKBEES,126,58.17,64.0759,8073.56,23.7,720.44,0.1015,7575.45
2023-12-18,NSE:QUAL30IETF,442,16.423,18.006,7958.65,23.59,676.1,0.0964,7588.97
2023-12-19,NSE:LOWVOLIETF,441,16.594,18.1428,8000.97,23.63,659.39,0.0933,7602.16
