strategy,instrument,entry_date,exit_date,entry_price,exit_price,shares,gross_pnl,costs,pnl,pnl_pct,cost_stt,cost_txn,cost_dp,cost_stamp,cost_gst,reason,regime,duration
ADX Breakout,Bank Nifty,2020-11-02,2020-12-21,24904.66,29441.38,3,13610.17,195.46,13414.71,17.95,163.04,4.84,15.34,11.21,0.8716,Signal,bull,49
ADX Breakout,Bank Nifty,2020-12-28,2021-01-18,30896.03,31795.48,3,2698.34,224.1,2474.24,2.67,188.07,5.59,15.34,13.9,1.0054,Signal,bull,21
ADX Breakout,Bank Nifty,2021-02-01,2021-02-22,33105.21,35239.16,3,6401.85,242.66,6159.19,6.2,205.03,6.09,15.34,14.9,1.0961,Signal,bull,21
ADX Breakout,Bank Nifty,2021-02-24,2021-02-26,36470.1,34785.79,3,-5052.93,253.22,-5306.15,-4.85,213.77,6.35,15.34,16.41,1.1428,Signal,bull,2
ADX Breakout,Bank Nifty,2021-04-28,2021-05-03,33739.27,32449.14,3,-3870.39,236.25,-4106.64,-4.06,198.57,5.9,15.34,15.18,1.0615,Signal,bull,5
ADX Breakout,Bank Nifty,2021-08-04,2021-08-17,36045.65,35849.1,3,-589.65,255.02,-844.67,-0.78,215.68,6.41,15.34,16.22,1.153,Signal,bull,13
ADX Breakout,Bank Nifty,2021-12-08,2021-12-16,37302.91,36529.95,2,-1545.92,179.52,-1725.44,-2.31,147.67,4.39,15.34,11.19,0.7894,Signal,bull,8
ADX Breakout,Bank Nifty,2022-01-03,2022-01-21,36439.69,37555.08,2,2230.78,179.6,2051.18,2.81,147.99,4.4,15.34,10.93,0.7912,Signal,bull,18
ADX Breakout,Bank Nifty,2022-08-25,2022-08-29,38969.77,38257.12,2,-1425.31,187.05,-1612.36,-2.07,154.45,4.59,15.34,11.69,0.8257,Signal,sideways,4
ADX Breakout,Bank Nifty,2022-08-30,2022-09-23,39556.06,39526.02,2,-60.08,191.07,-251.15,-0.32,158.16,4.7,15.34,11.87,0.8455,Signal,bull,24
ADX Breakout,Bank Nifty,2022-10-06,2022-10-07,39302.04,39158.0,2,-288.06,189.71,-477.77,-0.61,156.92,4.66,15.34,11.79,0.8389,Signal,bull,1
ADX Breakout,Bank Nifty,2022-12-29,2023-01-04,43273.47,42937.32,2,-672.3,206.96,-879.26,-1.02,172.42,5.12,15.34,12.98,0.9218,Signal,bull,6
ADX Breakout,Bank Nifty,2023-02-03,2023-02-10,41520.45,41538.62,2,36.34,199.9,-163.56,-0.2,166.12,4.93,15.34,12.46,0.8881,Signal,bull,7
ADX Breakout,Bank Nifty,2023-05-11,2023-05-19,43497.04,43947.41,2,900.75,209.58,691.17,0.79,174.89,5.19,15.34,13.05,0.935,Signal,bull,8
ADX Breakout,Bank Nifty,2023-08-01,2023-08-02,45615.3,44973.2,2,-1284.19,216.73,-1500.92,-1.65,181.18,5.38,15.34,13.68,0.9686,Signal,bull,1
ADX Breakout,Bank Nifty,2023-08-24,2023-08-25,44518.45,44209.33,2,-618.23,212.55,-830.78,-0.93,177.46,5.27,15.34,13.36,0.9487,Signal,bull,1
ADX Breakout,Bank Nifty,2023-08-28,2023-08-30,44516.9,44210.49,2,-612.82,212.55,-825.37,-0.93,177.45,5.27,15.34,13.36,0.9487,Signal,bull,2
ADX Breakout,Bank Nifty,2023-11-03,2023-11-17,43339.91,43562.16,2,444.5,208.41,236.09,0.27,173.8,5.16,15.34,13.0,0.9292,Signal,bull,14
ADX Breakout,Bank Nifty,2024-02-02,2024-02-06,45993.93,45667.96,2,-651.96,219.07,-871.03,-0.95,183.32,5.44,15.34,13.8,0.98,Signal,bull,4
ADX Breakout,Bank Nifty,2025-04-15,2025-05-06,52405.69,54244.26,1,1838.57,133.7,1704.87,3.25,106.65,3.17,15.34,7.86,0.5702,Signal,sideways,21
ADX Breakout,Bank Nifty,2025-08-18,2025-08-22,55762.77,55121.82,1,-640.94,138.59,-779.53,-1.4,110.88,3.29,15.34,8.36,0.5928,Signal,bull,4
